CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D102,D103,D202_01,D203,D204,D204_01,D204_02,D204_03,D204_04,D204_05,D204_06,D204_07,D205,D205_01,D205_02,D205_03,D205_04,D205_05,D205_06,D205_07,D205_08,D205_09,D205_10,D205_10a,D206,D207,D208,D208_01,D208_02,D208_03,D208_04,D208_05,D208_06,D208_07,D208_07a,D209,D210,D210_01,D210_02,D210_03,D210_04,D210_05,D210_06,D210_07,D210_08,D210_09,D210_10,D210_11,D210_12,D210_13,D210_14,D210_15,D210_16,D210_16a,D211,D212,D212_15,D212_16,D212_17,D212_18,D212_19,D212_20,D212_21,D212_22,D212_23,D212_24,D212_25,D212_26,D212_27,D212_28,D212_29,D212_29a,D213,D213_02,D302_01,D302_02,D302_03,D303_01,D303_02,D303_03,D303_04,D303_05,D303_06,D304_01,D305_01,D402_01,D402_02,D402_03,D402_04,D402_05,D403_01,D406_02,D407_02,D408_02,D409_02,D410_02,D411_02,D412_02,D413_02,D414_03,D415_04,D416_05,D404_01,D404_02,D404_03,D404_04,D405_03,D405_04,D405_05,D405_06,D405_07,D502_01,D502_02,D502_03,D502_04,D502_05,D502_06,D503_01,D503_02,D503_03,D503_04,D503_05,D503_06,D504_01,D504_02,D504_03,D504_04,D504_05,D504_06,D504_07,D504_08,D504_09,D504_10,D504_11,D504_12,D504_13,D504_14,D504_15,D504_16,D504_17,D504_18,D602_01,D602_02,D602_03,D602_04,D602_05,D602_06,D602_07,D602_08,D602_09,D602_10,D602_11,D602_12,D602_13,D602_14,D602_15,D602_16,D602_17,D602_18,D602_19,D602_20,D602_21,D602_22,D602_23,D602_24,D602_25,D602_26,D602_27,D602_28,D602_29,D603_01,D603_02,D603_03,D603_04,D603_05,D603_06,D603_07,D603_08,D603_09,D603_10,D604_01,D604_02,D605_01,D605_02,D605_03,D606_01,D606_02,D606_03,D606_04,D606_05,D606_06,D606_07,D606_08,D606_09,D606_10,D607_01,D607_02,D607_03,D607_04,D607_05,D607_06,D607_07,D608,D610_10,D610_11,D610_12,D610_13,D610_14,D610_15,D610_16,D610_17,D610_18,D702_01,D702_02,D702_03,D702_04,D702_05,D702_06,D702_07,D702_08,D702_09,D702_10,D703_01,D703_02,D703_03,D703_04,D703_05,D703_06,D703_07,D703_08,D703_09,D703_10,D703_11,D703_12,D704_01,D704_02,D704_03,D704_04,D704_05,D704_06,D704_07,D704_08,D704_09,D705,D706_01,D706_02,D706_03,D707_01_CN,D707_01_1,D707_01_2,D707_01_3,D707_01_4,D707_02_CN,D707_02_1,D707_02_2,D707_02_3,D707_02_4,D707_03_CN,D707_03_1,D707_03_2,D707_03_3,D707_03_4,D707_04_CN,D707_04_1,D707_04_2,D707_04_3,D707_04_4,D707_05_CN,D707_05_1,D707_05_2,D707_05_3,D707_05_4,D707_06_CN,D707_06_1,D707_06_2,D707_06_3,D707_06_4,D707_07_CN,D707_07_1,D707_07_2,D707_07_3,D707_07_4,D707_08_CN,D707_08_1,D707_08_2,D707_08_3,D707_08_4,D707_09_CN,D707_09_1,D707_09_2,D707_09_3,D707_09_4,...299,...300,...301,...302,...303,...304,...305,...306,...307,...308,...309,...310,...311,...312,...313,...314,...315,...316
2654,NA,NA,DE-01,interview,45638.374143518522,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2656,NA,NA,DE-01,interview,45638.449340277781,3,1,35,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,2,1,2,1,1,1,1,1,1,NA,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,2,3,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,NA,3,3,3,3,5,3,1,0,0,25,1,2,2,3,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,5,5,5,5,5,5,5,2,4,4,4,2,3,4,4,3,3,2,2,4,2,2,1,4,4,2,3,3,1,1,5,3,2,5,5,1,5,5,5,1,5,5,1,5,1,4,5,5,5,4,2,3,1,5,5,5,4,5,5,4,3,3,4,4,4,4,4,2,3,4,2,3,4,2,4,4,5,4,2,1,1,1,1,1,5,5,5,4,4,4,4,2,5,1,5,4,2,2,4,2,1,1,5,5,5,1,1,2,2,5,5,5,1,1,4,1,1,1,1,1,1,1,1,4,4,2,3,5,3,2,2,4,1,3,2,0,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2657,NA,NA,DE-01,interview,45638.463414351849,3,1,52,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,2,wissenschaftliche Mitarbeiter:in,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,NA,1,NA,240,0,80,0,0,0,0,0,0,8,3,4,4,4,5,4,2,2,2,2,2,2,2,3,2,2,2,1,2,1,1,1,2,2,1,2,2,4,5,4,4,4,4,4,2,4,3,3,3,2,2,2,2,2,2,2,2,1,2,2,3,2,1,4,3,2,1,4,4,4,5,5,3,4,4,5,1,4,4,2,4,1,4,4,4,4,4,2,4,2,4,4,4,3,3,4,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,4,4,4,5,3,2,1,3,2,3,5,4,4,4,4,4,4,1,4,2,4,4,2,2,3,2,2,2,4,4,4,2,2,2,2,4,4,-1,-1,-1,4,1,3,3,2,3,3,4,2,4,2,2,3,2,2,2,-1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2659,NA,NA,DE-01,interview,45638.522141203706,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2664,NA,NA,DE-01,interview,45638.604594907411,3,1,58,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,2,1,2,1,1,1,1,1,1,NA,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,NA,0,5,20,0,0,1,1,0,0,10,0,2,2,3,3,1,2,4,3,2,2,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,2,4,5,4,4,4,4,1,1,5,1,5,1,2,2,3,1,4,3,4,2,1,1,4,4,2,1,4,4,1,2,4,1,1,4,5,1,4,4,4,1,4,5,1,4,1,5,5,4,4,3,3,3,1,4,4,4,2,4,5,2,3,2,4,4,2,4,4,2,2,3,2,3,3,2,4,4,4,4,1,1,1,2,1,3,3,4,3,3,3,3,3,2,5,1,5,4,1,1,5,1,1,2,5,3,5,4,3,3,3,5,2,2,1,1,3,3,4,3,3,3,5,4,4,3,-1,4,4,-1,4,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2665,NA,NA,DE-01,interview,45638.605092592596,3,1,45,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,1,1,1,NA,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,NA,0,40,20,0,2,5,1,0,0,2,0,5,4,4,3,4,3,3,2,2,2,2,3,3,2,3,2,1,1,1,2,1,2,2,2,1,1,5,5,4,4,5,5,4,2,3,2,4,2,3,2,3,3,2,3,2,3,1,2,2,3,3,2,3,3,2,2,4,3,4,4,4,1,4,4,4,1,5,4,1,4,2,4,4,2,4,4,2,3,1,4,4,4,4,4,4,3,2,2,3,-9,-9,3,4,2,2,3,2,-9,3,1,3,4,4,4,4,1,1,2,2,3,5,4,4,4,4,3,3,2,4,2,4,4,2,2,4,3,2,2,4,3,3,2,2,2,2,5,4,4,1,2,3,2,1,1,2,1,1,2,3,2,1,5,5,5,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2677,NA,NA,DE-01,interview,45638.874942129631,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2695,NA,NA,DE-01,interview,45639.538483796299,3,1,47,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,1,1,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,MusikEnglisch,1,NA,4,14,NA,300,50,3,0,0,0,10,2,2,3,2,2,2,1,4,2,2,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,2,1,5,5,5,4,5,5,4,1,4,2,5,2,2,2,2,1,2,1,2,2,1,2,3,3,2,1,3,3,1,2,4,4,4,2,5,1,5,5,4,1,5,3,2,5,1,5,5,2,4,4,2,3,1,3,4,4,4,3,5,3,3,3,3,3,3,4,3,4,2,3,3,4,4,2,5,5,1,5,1,1,1,3,1,4,5,5,5,4,2,5,4,2,5,1,3,4,1,2,4,2,1,2,5,3,4,4,2,2,2,5,4,4,2,-1,2,5,1,-1,1,2,4,1,1,4,2,4,3,5,5,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2714,NA,NA,DE-01,interview,45642.389363425929,3,1,30,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,1,2,1,1,NA,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,Biochemie,1,NA,120,0,0,1,0,0,0,0,0,25,0,4,3,5,4,4,1,2,4,2,3,1,2,3,2,3,2,1,2,3,2,1,1,2,1,2,2,4,4,5,5,5,4,3,2,3,3,4,4,3,2,4,2,2,2,2,2,1,2,1,3,1,2,3,2,1,1,4,5,4,3,5,2,4,5,5,1,3,3,2,5,2,3,4,3,4,5,3,3,1,4,4,3,4,4,2,3,4,3,3,3,4,3,3,2,2,3,1,3,4,1,3,5,4,4,2,1,1,2,2,3,3,4,4,3,4,3,3,1,4,3,4,3,2,2,4,3,2,2,5,4,4,1,1,3,2,5,4,4,1,1,4,2,1,1,2,1,2,3,1,1,1,3,4,4,-1,1,2,4,1,0,1,0,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2716,NA,NA,DE-01,interview,45642.432037037041,3,1,42,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,2,1,1,1,1,2,1,1,1,NA,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,4,3,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,NA,2,Italy,0,450,150,0,2,3,1,0,0,20,0,2,2,3,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,4,3,1,3,2,3,4,4,3,3,3,3,4,4,4,2,4,3,3,3,2,2,2,2,2,2,4,4,2,2,5,4,4,2,5,2,5,5,4,2,4,4,1,5,2,5,5,2,5,4,1,4,1,5,5,4,4,4,5,3,4,2,4,3,4,4,4,2,3,4,2,3,4,1,4,4,4,4,3,2,1,3,1,2,3,4,4,3,4,3,4,2,5,1,5,4,1,2,4,2,3,1,2,3,5,2,1,2,3,4,4,4,2,2,4,3,2,3,2,2,4,4,3,4,3,3,4,4,3,3,3,3,1,3,1,0,4,2,2,2,2,4,2,2,2,2,2,1,2,2,1,3,2,2,2,1,2,1,2,2,1,3,2,2,2,1,4,2,2,2,2,3,1,2,2,2,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3071,NA,NA,DE-01,interview,45643.563472222224,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3143,NA,NA,DE-01,interview,45644.461319444446,3,1,54,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,2,1,2,1,1,1,1,1,1,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,5,4,2,0,0,3,4,2,0,25,0,2,2,3,2,1,1,2,2,2,2,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,4,4,4,4,5,4,5,2,5,1,4,2,3,4,3,2,3,2,3,3,1,2,3,3,3,1,4,3,1,1,4,4,2,2,3,2,4,4,4,1,4,2,2,3,1,4,4,3,3,4,2,4,5,4,4,4,3,3,4,2,2,2,2,2,2,3,2,2,2,3,2,3,4,1,4,4,4,4,2,1,1,1,1,4,5,4,4,4,4,3,4,2,5,3,4,4,2,2,4,2,2,2,4,5,5,1,2,1,1,5,5,5,1,1,4,1,1,1,1,1,1,2,1,3,3,4,4,2,3,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3144,NA,NA,DE-01,interview,45644.461331018516,3,1,51,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,1,1,2,1,1,1,1,1,1,NA,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,USA,120,140,30,1,1,3,1,2,0,0,0,5,5,4,5,4,4,4,3,2,3,2,3,3,3,3,3,3,4,4,3,2,2,3,4,4,3,3,4,3,3,2,3,3,2,3,4,4,3,2,2,3,3,2,3,2,3,2,2,3,3,3,2,3,3,2,2,5,4,4,4,5,1,4,4,4,1,5,4,1,4,1,3,5,2,3,3,2,3,1,3,5,4,3,3,3,1,2,3,2,3,3,3,3,2,2,4,2,2,3,1,3,4,3,3,2,1,1,2,2,3,4,4,4,4,4,4,3,2,3,2,4,3,2,2,3,2,2,4,3,3,1,5,3,4,4,3,2,1,4,1,3,1,1,1,1,1,1,1,1,3,2,5,1,3,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3154,NA,NA,DE-01,interview,45644.462800925925,3,1,44,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,1,1,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,NA,1,NA,6,4,1,6,7,5,2,0,0,5,1,2,5,3,5,2,1,3,2,1,2,1,1,2,2,1,1,1,2,1,2,1,1,2,1,2,1,4,5,4,4,4,5,4,2,4,1,5,2,4,3,4,3,3,2,2,3,2,2,2,4,3,3,4,3,2,1,5,5,3,2,4,2,5,3,5,1,3,4,1,4,1,5,4,3,4,4,1,4,1,5,5,4,3,4,2,2,2,3,3,4,4,3,4,2,2,2,2,3,3,2,4,4,4,4,3,1,1,2,1,3,3,4,4,4,4,3,4,2,4,3,4,4,3,3,4,3,2,1,5,4,2,2,1,3,3,5,4,4,1,1,3,2,3,2,2,2,3,4,2,4,1,5,4,4,4,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3158,NA,NA,DE-01,interview,45644.463483796295,3,1,60,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,1,1,2,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,NA,1,NA,4,4,2,0,6,4,0,0,0,2,0,3,5,5,5,4,3,3,2,2,2,1,2,2,3,2,2,1,2,1,3,2,2,2,1,2,1,4,4,4,4,4,4,3,2,3,3,3,3,2,2,2,4,3,2,3,2,1,2,3,3,2,2,3,2,1,1,5,4,3,4,5,1,5,5,5,1,4,3,1,4,1,3,5,4,4,4,2,3,1,4,4,4,3,4,5,3,2,3,3,2,2,3,3,2,2,3,3,2,2,2,3,3,3,3,1,1,1,3,1,1,3,4,4,4,3,2,4,2,4,2,3,3,3,3,3,3,2,3,3,5,3,3,4,4,4,4,2,2,1,1,2,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3163,NA,NA,DE-01,interview,45644.464317129627,3,1,50,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,2,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,3,3,3,2,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,5,5,5,5,5,1,4,5,5,4,5,5,-9,5,1,3,5,4,3,5,4,4,1,5,5,4,4,4,5,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,4,4,1,1,1,3,1,4,4,5,5,4,4,4,4,2,5,1,5,5,1,1,5,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,NA,NA,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
