CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,U104,U105,U202_01,U203,U204,U204_01,U204_02,U204_03,U204_04,U204_05,U204_06,U204_07,U205,U205_01,U205_02,U205_03,U205_04,U205_05,U205_06,U205_07,U205_08,U205_09,U205_10,U206,U207,U208,U208_02,U208_03,U208_04,U208_05,U208_07,U208_08,U208_09,U208_10,U208_11,U208_12,U208_13,U208_14,U208_15,U208_16,U208_16a,U209,U210,U210_01,U210_02,U210_03,U210_04,U210_05,U210_06,U210_07,U210_08,U210_09,U210_10,U210_11,U210_12,U210_13,U210_16,U210_15,U210_14,U210_14a,U211,U212,U212_01,U212_02,U212_03,U212_04,U212_05,U212_06,U212_07,U212_08,U212_09,U212_10,U212_11,U212_12,U212_13,U212_14,U212_14a,U213,U213_02,U302_01,U302_02,U302_03,U303_01,U303_02,U303_03,U303_04,U303_05,U303_06,U304_01,U305_01,U402_01,U402_02,U402_03,U402_04,U402_05,U403_01,U403_02,U403_03,U403_04,U403_05,U403_06,U403_07,U403_08,U403_09,U403_10,U403_11,U403_12,U404_03,U404_04,U404_05,U404_06,U404_07,U405_01,U405_02,U405_03,U405_04,U502_01,U502_02,U502_03,U502_04,U502_05,U502_06,U503_01,U503_02,U503_03,U503_04,U503_05,U503_06,U504_01,U504_02,U504_03,U504_04,U504_05,U504_06,U504_07,U504_08,U504_09,U504_10,U504_11,U504_12,U504_13,U504_14,U504_15,U504_16,U504_17,U504_18,U602_01,U602_02,U602_03,U602_04,U602_05,U602_06,U602_07,U602_08,U602_09,U602_10,U602_11,U602_12,U602_13,U602_14,U602_15,U602_16,U603_01,U603_02,U603_03,U603_04,U603_05,U603_06,U603_07,U603_08,U603_09,U603_10,U603_11,U603_12,U603_14,U603_16,U603_17,U604_01,U604_02,U604_03,U604_04,U604_05,U604_06,U604_07,U604_08,U605_01,U605_02,U605_03,U605_04,U606,U607_01,U607_02,U607_03,U607_04,U607_05,U607_06,U607_07,U607_08,U607_09,U702_01,U702_02,U702_03,U702_04,U702_05,U702_06,U702_07,U702_08,U702_09,U702_10,U703_01,U703_02,U703_03,U703_04,U703_05,U703_06,U703_07,U703_08,U703_09,U703_10,U703_11,U703_12,U704_01,U704_02,U704_03,U704_04,U704_05,U704_06,U704_07,U704_08,U704_09,U705,U706_01_CN,U706_01_1,U706_01_2,U706_01_3,U706_01_4,U706_02_CN,U706_02_1,U706_02_2,U706_02_3,U706_02_4,U706_03_CN,U706_03_1,U706_03_2,U706_03_3,U706_03_4,U706_04_CN,U706_04_1,U706_04_2,U706_04_3,U706_04_4,U706_05_CN,U706_05_1,U706_05_2,U706_05_3,U706_05_4,U706_06_CN,U706_06_1,U706_06_2,U706_06_3,U706_06_4,U706_07_CN,U706_07_1,U706_07_2,U706_07_3,U706_07_4,U706_08_CN,U706_08_1,U706_08_2,U706_08_3,U706_08_4,U706_09_CN,U706_09_1,U706_09_2,U706_09_3,U706_09_4,U708_01,U710_01,U710_02,U710_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME018,TIME019,TIME020,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
1108,NA,NA,US-01,interview,45617.69390046296,1,1,67,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,NA,1,1,NA,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,NA,6,3,10,6,6,2,NA,NA,NA,1010,1,3,3,3,4,4,2,3,2,2,2,2,2,2,2,-9,2,2,2,1,1,1,2,1,1,1,2,2,3,2,4,2,3,4,3,4,2,3,3,4,3,4,5,4,2,3,3,3,2,4,4,5,4,4,5,2,1,5,4,5,4,4,3,1,1,1,4,4,4,4,3,4,5,3,2,2,3,3,2,4,2,2,2,2,4,3,3,3,4,4,4,4,1,1,1,3,2,2,1,3,2,5,1,5,4,1,1,3,3,1,4,5,3,3,4,1,5,3,5,3,3,1,-1,4,1,2,2,2,1,1,2,2,2,1,1,1,4,3,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,23,88,135,81,186,71,36,99,45,74,89,35,73,45,7,NA,3,NA,NA,1111,NA,45617.706770833334,1,0,18,18,2,2,0.91
1112,NA,NA,US-01,interview,45617.694791666669,1,1,59,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,1,NA,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,1,NA,6,NA,NA,15,0,1,0,0,2,12,0,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,1,2,2,1,3,3,3,3,3,3,3,2,3,3,4,2,3,3,3,3,4,4,3,3,3,4,2,2,5,4,4,4,4,4,2,2,2,4,4,4,5,4,5,5,3,3,3,3,3,3,3,3,2,3,2,3,2,4,2,4,3,4,4,2,2,2,2,3,4,3,3,1,5,2,5,5,1,1,5,1,1,1,5,4,5,5,4,3,4,5,4,4,2,-1,2,-1,2,2,3,2,2,4,2,2,2,2,-1,2,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,19,33,144,2703,170,76,31,94,56,66,91,46,77,35,8,NA,5,NA,NA,1038,NA,45617.737210648149,1,0,18,18,1,1,0.98
1125,NA,NA,US-01,interview,45617.699756944443,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,45617.701643518521,1,0,1,1,0,0,0.13
1129,NA,NA,US-01,interview,45617.702905092592,1,1,40,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,2,Mechanical Engineering,3,3,1,1,1,1,2,1,2,1,1,1,1,1,1,2,Mechanical Engineering,1,NA,2,1,30,25,0,5,1,1,1,8,2,4,2,4,2,5,2,2,2,2,2,2,2,2,3,3,2,2,1,2,1,1,1,1,1,2,3,2,2,4,1,4,2,2,2,2,3,3,3,4,4,3,2,2,4,2,2,2,3,2,4,2,2,2,2,2,2,5,3,4,4,4,3,2,2,2,3,3,3,5,3,5,4,3,3,2,2,2,2,3,4,2,2,3,4,1,3,2,2,2,2,3,1,1,1,2,3,3,3,3,2,4,2,4,4,2,2,4,2,3,2,3,2,3,3,3,5,3,3,2,2,1,1,3,2,1,1,1,1,2,5,3,3,2,1,2,4,3,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,24,196,76,59,153,48,32,70,37,60,85,36,76,44,9,NA,6,NA,NA,1023,NA,45617.714745370373,1,0,18,18,0,0,45748
1130,NA,NA,US-01,interview,45617.703043981484,1,1,44,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,3,3,0,7,0,7,1,0,0,8,1,5,5,5,6,3,2,1,2,2,4,3,2,2,3,3,2,2,3,3,1,1,3,4,4,3,3,3,4,3,3,3,4,2,3,2,3,2,4,4,4,1,5,4,4,1,1,3,1,1,2,2,4,2,1,4,1,5,5,5,5,5,3,1,1,1,2,4,2,5,5,5,5,3,4,2,4,2,3,4,4,2,2,4,4,2,2,1,3,4,4,4,1,1,1,2,4,4,3,3,2,4,4,5,4,2,2,4,2,2,2,5,3,4,3,2,3,3,5,3,3,4,1,2,4,1,1,1,3,1,3,3,3,1,1,1,3,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,15,28,110,77,212,104,56,107,47,56,91,38,65,47,8,NA,3,NA,NA,1085,NA,45617.715601851851,1,0,18,18,0,0,0.99
1132,NA,NA,US-01,interview,45617.703564814816,1,1,58,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,57,18,2,0,0,2,0,0,1,10,0,1,2,2,1,1,2,1,3,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,4,2,4,2,4,2,3,4,5,2,3,2,2,4,2,3,2,4,3,3,4,4,2,3,4,4,4,2,4,3,2,2,2,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,5,5,4,5,1,1,1,3,3,3,2,4,1,4,2,4,3,2,2,3,3,2,1,5,3,5,1,1,1,1,5,4,4,1,1,5,1,3,3,1,1,1,4,1,3,1,5,5,5,5,4,4,4,1,2,2,1,2,1,3,2,2,2,1,2,2,1,2,1,3,2,2,2,1,2,2,2,1,1,1,2,1,1,1,3,2,2,2,1,3,2,2,1,2,0,1,1,1,1,NA,4,3,0,30,12,52,311,190,286,111,80,146,26,69,136,49,86,72,7,197,4,NA,NA,1728,NA,45617.725138888891,1,0,18,18,1,0,0.76
1138,NA,NA,US-01,interview,45617.706134259257,1,1,60,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,1,NA,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,NA,4,0,2,2,0,1,2,0,0,1,0,5,5,6,6,6,1,2,1,2,4,4,3,2,4,3,3,1,2,4,3,3,2,3,3,4,4,2,4,4,2,4,3,3,3,3,2,4,3,4,4,4,4,4,4,3,2,2,3,3,4,4,3,4,4,2,3,5,5,5,5,5,4,1,1,1,5,5,5,5,4,5,4,3,3,3,3,4,4,4,4,3,2,4,4,1,4,1,4,4,5,5,1,1,1,3,3,4,3,3,2,5,1,5,4,2,2,5,2,1,4,4,3,2,3,2,4,5,5,2,1,4,4,1,2,1,1,4,2,1,3,4,3,1,-1,-1,5,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1319,37,106,57,171,81,32,112,55,137,124,50,330,41,8,NA,5,NA,NA,1378,NA,45617.737118055556,1,0,18,18,0,0,0.87
1143,NA,NA,US-01,interview,45617.709097222221,1,1,50,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,1,1,NA,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,NA,1,NA,8,4,20,20,0,4,2,0,0,10,2,2,6,2,6,2,2,3,2,2,4,2,2,2,3,3,1,2,4,4,4,4,1,4,3,1,1,3,2,4,5,1,1,4,2,2,2,4,2,4,3,5,5,3,3,2,5,3,2,4,5,4,4,5,5,2,2,5,4,5,3,4,4,1,1,1,4,5,4,5,5,5,5,3,3,4,3,2,3,4,4,3,1,3,4,4,3,1,4,4,4,5,1,1,1,2,3,4,4,4,2,5,1,5,5,1,1,5,1,1,1,2,2,4,2,2,1,2,3,4,4,1,1,5,1,4,1,2,1,5,4,2,2,2,2,2,5,3,3,3,4,1,2,2,1,2,1,1,1,1,2,1,1,1,1,2,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,NA,1,1,0,316,12,55,72,55,103,44,24,62,20,45,58,28,46,28,6,36,2,NA,NA,718,NA,45617.720833333333,1,0,18,18,4,2,14246
1146,NA,NA,US-01,interview,45617.7109837963,1,1,44,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,1,NA,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,NA,1,NA,6,0,200,480,0,0,0,0,0,80,100,3,3,5,5,2,2,3,3,2,3,3,2,2,2,2,1,2,2,2,1,2,2,4,2,2,2,4,5,5,3,4,5,2,5,1,5,1,5,4,3,3,5,3,3,2,2,2,1,2,4,3,5,4,3,3,1,5,3,5,3,4,4,1,1,1,5,4,4,5,5,5,4,3,4,3,3,4,4,4,4,2,2,4,4,1,4,2,5,5,5,5,1,1,1,1,5,5,5,5,1,5,1,5,5,1,1,3,3,1,2,4,4,3,2,5,4,3,3,4,-1,-1,-1,2,2,3,3,4,2,5,4,1,4,1,3,-1,-1,1,-1,4,3,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,0,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,0,1,1,1,1,NA,0,2,0,16,23,74,149,185,283,126,31,130,136,67,109,60,156,57,8,74,8,NA,NA,1692,NA,45617.730567129627,1,0,18,18,2,0,0.72
1158,NA,NA,US-01,interview,45617.713194444441,1,1,65,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,Medicine,1,NA,0,3,12,2,6,4,1,1,0,8,0,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,1,1,1,2,1,1,1,4,5,3,4,4,5,4,2,4,1,4,2,4,5,5,4,4,2,3,5,1,3,3,4,3,2,4,4,2,2,5,5,5,5,3,5,1,1,1,4,5,4,5,4,4,4,3,4,3,4,3,3,4,4,4,2,3,4,2,4,3,5,5,5,5,1,1,1,1,4,4,4,4,2,5,1,5,4,1,2,5,1,1,1,5,5,5,1,1,2,2,5,5,3,1,1,4,-1,-1,-1,2,1,1,2,4,3,2,4,4,5,3,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,20,64,95,121,244,96,36,118,39,91,136,38,116,48,11,NA,2,NA,NA,1289,NA,45617.728113425925,1,0,18,18,0,0,0.89
1179,NA,NA,US-01,interview,45617.721192129633,1,1,37,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,2,Surgery,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,0,20,10,0,1,1,3,1,0,5,0,2,2,1,1,1,2,1,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,1,5,1,5,1,5,5,4,4,5,2,1,5,1,1,1,5,5,3,5,5,1,3,5,5,5,5,5,5,1,1,1,3,4,4,5,5,5,5,2,2,2,3,3,3,3,4,2,3,2,4,1,4,2,5,5,4,5,3,3,2,3,2,2,1,1,2,4,2,4,4,2,2,2,3,2,1,5,4,5,1,1,1,1,5,4,5,2,1,5,1,1,1,1,1,1,2,2,1,1,5,5,5,4,1,1,4,1,4,2,2,2,2,4,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,1,1,1,3,2,2,2,1,3,2,2,2,1,3,2,2,1,2,0,1,1,1,1,NA,16,8,0,12,94,124,455,409,315,144,38,109,23,45,93,105,1087,57,8,207,2,NA,NA,2161,NA,45617.759710648148,1,0,18,18,1,0,0.74
1182,NA,NA,US-01,interview,45617.72152777778,1,1,45,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,1,NA,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,NA,10,0,30,0,0,7,1,1,0,8,3,4,4,4,4,3,2,2,2,3,4,3,2,3,3,3,2,2,1,2,1,2,1,2,1,2,1,2,4,3,3,2,4,4,3,2,3,3,3,5,5,5,3,3,4,1,4,4,3,2,5,3,2,5,4,3,2,5,5,5,5,4,4,1,5,5,5,5,5,5,5,5,5,3,3,3,4,3,4,4,4,4,2,4,4,1,4,1,4,4,4,4,1,1,1,2,5,5,5,4,2,5,1,5,4,1,2,5,2,1,5,2,2,1,5,5,5,5,3,1,4,2,2,4,4,3,3,4,4,4,4,4,2,2,3,2,4,3,3,1,3,1,2,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,1,2,1,0,1,1,1,1,NA,2,2,0,33,25,210,100,57,121,58,29,69,36,44,78,39,86,32,5,81,7,NA,NA,1110,NA,45617.734375,1,0,18,18,1,0,45689
1185,NA,NA,US-01,interview,45617.722060185188,1,1,33,1,1,2,1,1,1,1,1,1,3,2,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,Research Software Engineer,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,1,NA,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,NA,0,0,5,0,0,0,0,0,0,5,1,2,3,3,3,3,2,2,3,3,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,5,5,5,5,5,5,4,2,3,2,3,2,5,4,4,3,5,2,3,3,3,3,3,3,3,3,4,3,2,3,5,5,5,5,5,4,1,1,1,4,4,4,4,4,4,4,3,3,3,2,2,4,4,4,1,1,3,4,1,3,2,4,4,4,4,1,1,2,1,4,4,4,4,2,4,3,5,4,2,2,4,2,2,2,3,2,4,2,4,3,2,3,3,4,2,3,4,3,4,2,2,2,5,3,5,-1,2,2,2,-1,3,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,61,96,42,54,109,47,33,74,25,36,86,34,61,44,13,NA,6,NA,NA,834,NA,45617.731724537036,1,0,18,18,0,0,43101
1188,NA,NA,US-01,interview,45617.72216435185,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,45617.723055555558,1,0,1,1,0,0,0.29
1190,NA,NA,US-01,interview,45617.722997685189,1,1,71,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,NA,130,0,100,0,0,1,0,0,0,10,0,2,2,2,3,2,2,1,3,3,1,1,3,3,1,1,1,3,2,1,1,1,2,1,1,1,1,4,5,3,5,5,5,5,1,1,1,4,1,3,3,4,2,2,1,3,3,1,1,3,1,4,3,3,3,1,1,5,5,5,5,5,3,1,1,1,4,3,4,4,3,4,4,3,3,2,4,2,3,4,4,2,2,2,4,2,3,2,4,4,2,3,1,1,1,1,3,3,2,2,2,4,2,5,4,1,3,3,3,2,1,5,3,3,1,1,1,1,5,4,4,1,1,3,-1,1,1,1,1,1,3,1,2,3,5,5,4,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,20,49,170,66,155,85,40,86,44,59,108,45,73,54,6,NA,3,NA,NA,1084,NA,45617.735543981478,1,0,18,18,0,0,0.95
1193,NA,NA,US-01,interview,45617.723344907405,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,45617.72378472222,1,0,1,1,0,0,0.58
